service_request_id,service_name,title,description,requested_datetime,status
48123-2025,Leuchte beschädigt,#48123-2025 Straßenbeleuchtung beschädigt,Kabel hängt vom Masten ,2025-02-03T09:13:44+01:00,open
48257-2025,Brunnen beschädigt,#48257-2025 Brunnen beschädigt,"Sehr geehrte Damen und Herren,

die Pflastersteine um den Hubertusbrunnen werden rausgenommen und auf das Eis des Kanals geworfen. 

Mit freundlichen Grüßen,
Whitney Steinmann",2025-02-05T11:25:13+01:00,open
48332-2025,Leuchte ausgefallen,#48332-2025 Leuchte ausgefallen,"Mast 4, an Kreuzung Lilienthalallee/ Frankfurter Ring. Laterne defekt. ",2025-02-06T17:07:26+01:00,open
48532-2025,Leuchte ausgefallen,#48532-2025 Straßenbeleuchtung ausgefallen,Leuchte zündet mehrfach neu ,2025-02-09T14:40:58+01:00,open
48673-2025,Leuchte verschmutzt,#48673-2025 Straßenbeleuchtung verschmutzt,"Verkehrsschild Zoo / Giesing schlecht lesbar, die Beleuchtung von diesem Schild funktioniert auch nicht mehr bitte Instant setzen liebes Baureferat kann doch nicht so schwer sein die Beleuchtung Instantzusetzen und die Beschilderung zu reinigen. ",2025-02-11T02:33:06+01:00,open
48674-2025,Leuchte ausgefallen,#48674-2025 Straßenbeleuchtung ausgefallen,"Tunnel Beleuchtung Fußgänger und Mittlerer Ring Seite ausgefallen mehrere Deckenlampen, ist die Unterführung unterhalb der Plinganserstr. ",2025-02-11T02:41:15+01:00,open
48785-2025,Leuchte ausgefallen,#48785-2025 Leuchte ausgefallen,"Hier fehlen bereits seit Monaten die Laternen, sodass die Lampen nicht funktionieren.",2025-02-12T15:01:46+01:00,closed
48882-2025,Plakat blockiert Sicht/Straße/Geh-/Radweg,#48882-2025 Plakat blockiert Sicht/Straße/Geh-/Radweg,CSU Plakat hängt zu nahe an Kreuzung Gabelsbergerstr Ecke Richard Wagnerstraße,2025-02-13T16:43:44+01:00,open
49003-2025,Leuchte ausgefallen,#49003-2025 Straßenbeleuchtung ausgefallen,Eine der Hängeleuchten ist aus. ,2025-02-15T19:25:11+01:00,open
49170-2025,Leuchte ausgefallen,#49170-2025 Straßenbeleuchtung ausgefallen,"Mastnummer habe ich keine gefunden, die Straßenbeleuchtung funktioniert nun schon seit einer Woche nicht mehr, es ist genau Deisenhofener Str. Ecke Raintaler, an dieser Ecke passieren ohnehin schlimme Unfälle!",2025-02-19T21:00:20+01:00,open
